=== Sorting Benchmark ===
Array size: 33554432 elements (0.125 GB)
Data type: 4 bytes
Runs per test: 5

algorithm,distribution,size,time_us,time_sec,throughput_MB_s,cost_per_GB
timsort_run32,random_uniform,33554432,2870005.80,2.870006,44.60,0.00318890
timsort_run64,random_uniform,33554432,2864200.40,2.864200,44.69,0.00318244
timsort_run128,random_uniform,33554432,3011823.20,3.011823,42.50,0.00334647
timsort_run256,random_uniform,33554432,3450529.20,3.450529,37.10,0.00383392
timsort_run512,random_uniform,33554432,4416060.40,4.416060,28.99,0.00490673
timsort_pf_run64,random_uniform,33554432,2975347.20,2.975347,43.02,0.00330594
timsort_pf_run128,random_uniform,33554432,3115188.20,3.115188,41.09,0.00346132
timsort_pf_run256,random_uniform,33554432,3553387.20,3.553387,36.02,0.00394821
radix_lsd,random_uniform,33554432,467572.80,0.467573,273.75,0.00051953
radix_hybrid,random_uniform,33554432,468198.40,0.468198,273.39,0.00052022
timsort_run32,nearly_sorted,33554432,808285.80,0.808286,158.36,0.00089810
timsort_run64,nearly_sorted,33554432,758422.40,0.758422,168.77,0.00084269
timsort_run128,nearly_sorted,33554432,706654.40,0.706654,181.14,0.00078517
timsort_run256,nearly_sorted,33554432,658914.40,0.658914,194.26,0.00073213
timsort_run512,nearly_sorted,33554432,637702.60,0.637703,200.72,0.00070856
timsort_pf_run64,nearly_sorted,33554432,820022.00,0.820022,156.09,0.00091114
timsort_pf_run128,nearly_sorted,33554432,780825.00,0.780825,163.93,0.00086758
timsort_pf_run256,nearly_sorted,33554432,733455.80,0.733456,174.52,0.00081495
radix_lsd,nearly_sorted,33554432,484272.00,0.484272,264.31,0.00053808
radix_hybrid,nearly_sorted,33554432,483610.60,0.483611,264.68,0.00053735
timsort_run32,reverse_sorted,33554432,799962.60,0.799963,160.01,0.00088885
timsort_run64,reverse_sorted,33554432,1053156.20,1.053156,121.54,0.00117017
timsort_run128,reverse_sorted,33554432,1648649.00,1.648649,77.64,0.00183183
timsort_run256,reverse_sorted,33554432,2894025.00,2.894025,44.23,0.00321558
timsort_run512,reverse_sorted,33554432,5118558.40,5.118558,25.01,0.00568729
timsort_pf_run64,reverse_sorted,33554432,1125117.40,1.125117,113.77,0.00125013
timsort_pf_run128,reverse_sorted,33554432,1701025.80,1.701026,75.25,0.00189003
timsort_pf_run256,reverse_sorted,33554432,2906507.60,2.906508,44.04,0.00322945
radix_lsd,reverse_sorted,33554432,515770.20,0.515770,248.17,0.00057308
radix_hybrid,reverse_sorted,33554432,515620.00,0.515620,248.24,0.00057291
timsort_run32,few_unique,33554432,1372856.80,1.372857,93.24,0.00152540
timsort_run64,few_unique,33554432,1368349.20,1.368349,93.54,0.00152039
timsort_run128,few_unique,33554432,1519516.60,1.519517,84.24,0.00168835
timsort_run256,few_unique,33554432,1971940.40,1.971940,64.91,0.00219104
timsort_run512,few_unique,33554432,3022500.00,3.022500,42.35,0.00335833
timsort_pf_run64,few_unique,33554432,1448996.20,1.448996,88.34,0.00161000
timsort_pf_run128,few_unique,33554432,1592645.00,1.592645,80.37,0.00176961
timsort_pf_run256,few_unique,33554432,2042019.00,2.042019,62.68,0.00226891
radix_lsd,few_unique,33554432,230212.00,0.230212,556.01,0.00025579
radix_hybrid,few_unique,33554432,235920.60,0.235921,542.56,0.00026213

=== Benchmark Complete ===
