=== Sorting Benchmark ===
Array size: 33554432 elements (0.125 GB)
Data type: 4 bytes
Runs per test: 5

algorithm,distribution,size,time_us,time_sec,throughput_MB_s,cost_per_GB
timsort_run32,random_uniform,33554432,2789175.80,2.789176,45.89,0.00309908
timsort_run64,random_uniform,33554432,2725673.60,2.725674,46.96,0.00302853
timsort_run128,random_uniform,33554432,2806258.60,2.806259,45.61,0.00311807
timsort_run256,random_uniform,33554432,3024875.80,3.024876,42.32,0.00336097
timsort_run512,random_uniform,33554432,3658543.80,3.658544,34.99,0.00406505
timsort_pf_run64,random_uniform,33554432,3080165.00,3.080165,41.56,0.00342241
timsort_pf_run128,random_uniform,33554432,3223321.60,3.223322,39.71,0.00358147
timsort_pf_run256,random_uniform,33554432,3636570.40,3.636570,35.20,0.00404063
radix_lsd,random_uniform,33554432,465971.40,0.465971,274.69,0.00051775
radix_hybrid,random_uniform,33554432,466103.60,0.466104,274.62,0.00051789
timsort_run32,nearly_sorted,33554432,698163.00,0.698163,183.34,0.00077574
timsort_run64,nearly_sorted,33554432,656337.20,0.656337,195.02,0.00072926
timsort_run128,nearly_sorted,33554432,608426.00,0.608426,210.38,0.00067603
timsort_run256,nearly_sorted,33554432,561921.20,0.561921,227.79,0.00062436
timsort_run512,nearly_sorted,33554432,522153.60,0.522154,245.14,0.00058017
timsort_pf_run64,nearly_sorted,33554432,882190.80,0.882191,145.09,0.00098021
timsort_pf_run128,nearly_sorted,33554432,841664.20,0.841664,152.08,0.00093518
timsort_pf_run256,nearly_sorted,33554432,792748.80,0.792749,161.46,0.00088083
radix_lsd,nearly_sorted,33554432,475868.40,0.475868,268.98,0.00052874
radix_hybrid,nearly_sorted,33554432,475809.80,0.475810,269.02,0.00052868
timsort_run32,reverse_sorted,33554432,621409.00,0.621409,205.98,0.00069045
timsort_run64,reverse_sorted,33554432,759318.40,0.759318,168.57,0.00084369
timsort_run128,reverse_sorted,33554432,1186536.20,1.186536,107.88,0.00131837
timsort_run256,reverse_sorted,33554432,1974136.60,1.974137,64.84,0.00219349
timsort_run512,reverse_sorted,33554432,3519049.80,3.519050,36.37,0.00391006
timsort_pf_run64,reverse_sorted,33554432,1055305.60,1.055306,121.29,0.00117256
timsort_pf_run128,reverse_sorted,33554432,1648374.80,1.648375,77.65,0.00183153
timsort_pf_run256,reverse_sorted,33554432,2800702.60,2.800703,45.70,0.00311189
radix_lsd,reverse_sorted,33554432,500761.60,0.500762,255.61,0.00055640
radix_hybrid,reverse_sorted,33554432,500064.00,0.500064,255.97,0.00055563
timsort_run32,few_unique,33554432,1259435.00,1.259435,101.63,0.00139937
timsort_run64,few_unique,33554432,1212458.00,1.212458,105.57,0.00134718
timsort_run128,few_unique,33554432,1272829.80,1.272830,100.56,0.00141426
timsort_run256,few_unique,33554432,1523842.40,1.523842,84.00,0.00169316
timsort_run512,few_unique,33554432,2181251.00,2.181251,58.68,0.00242361
timsort_pf_run64,few_unique,33554432,1500601.80,1.500602,85.30,0.00166734
timsort_pf_run128,few_unique,33554432,1646280.40,1.646280,77.75,0.00182920
timsort_pf_run256,few_unique,33554432,2078935.60,2.078936,61.57,0.00230993
radix_lsd,few_unique,33554432,227326.00,0.227326,563.07,0.00025258
radix_hybrid,few_unique,33554432,227395.40,0.227395,562.90,0.00025266

=== Benchmark Complete ===
