=== Sorting Benchmark ===
Array size: 33554432 elements (0.125 GB)
Data type: 4 bytes
Runs per test: 5

algorithm,distribution,size,time_us,time_sec,throughput_MB_s,cost_per_GB
timsort_run32,random_uniform,33554432,2818081.80,2.818082,45.42,0.00313120
timsort_run64,random_uniform,33554432,2798014.20,2.798014,45.75,0.00310890
timsort_run128,random_uniform,33554432,2948564.60,2.948565,43.41,0.00327618
timsort_run256,random_uniform,33554432,3431770.40,3.431770,37.30,0.00381308
timsort_run512,random_uniform,33554432,4388256.00,4.388256,29.17,0.00487584
timsort_pf_run64,random_uniform,33554432,2974642.80,2.974643,43.03,0.00330516
timsort_pf_run128,random_uniform,33554432,3029451.00,3.029451,42.25,0.00336606
timsort_pf_run256,random_uniform,33554432,3256866.80,3.256867,39.30,0.00361874
radix_lsd,random_uniform,33554432,468779.20,0.468779,273.05,0.00052087
radix_hybrid,random_uniform,33554432,469474.80,0.469475,272.65,0.00052164
timsort_parallel_t2,random_uniform,33554432,1519568.80,1.519569,84.23,0.00168841
timsort_parallel_t4,random_uniform,33554432,919142.60,0.919143,139.26,0.00102127
timsort_parallel_t8,random_uniform,33554432,692393.40,0.692393,184.87,0.00076933
timsort_parallel_t16,random_uniform,33554432,705409.60,0.705410,181.45,0.00078379
timsort_run32,nearly_sorted,33554432,571246.40,0.571246,224.07,0.00063472
timsort_run64,nearly_sorted,33554432,547287.00,0.547287,233.88,0.00060810
timsort_run128,nearly_sorted,33554432,528947.60,0.528948,241.99,0.00058772
timsort_run256,nearly_sorted,33554432,514065.60,0.514066,249.00,0.00057118
timsort_run512,nearly_sorted,33554432,528446.80,0.528447,242.22,0.00058716
timsort_pf_run64,nearly_sorted,33554432,807365.60,0.807366,158.54,0.00089707
timsort_pf_run128,nearly_sorted,33554432,776544.60,0.776545,164.83,0.00086283
timsort_pf_run256,nearly_sorted,33554432,718544.20,0.718544,178.14,0.00079838
radix_lsd,nearly_sorted,33554432,473425.40,0.473425,270.37,0.00052603
radix_hybrid,nearly_sorted,33554432,473403.00,0.473403,270.38,0.00052600
timsort_parallel_t2,nearly_sorted,33554432,270861.40,0.270861,472.57,0.00030096
timsort_parallel_t4,nearly_sorted,33554432,207892.40,0.207892,615.70,0.00023099
timsort_parallel_t8,nearly_sorted,33554432,221738.20,0.221738,577.26,0.00024638
timsort_parallel_t16,nearly_sorted,33554432,234334.80,0.234335,546.23,0.00026037
timsort_run32,reverse_sorted,33554432,711102.20,0.711102,180.00,0.00079011
timsort_run64,reverse_sorted,33554432,971490.80,0.971491,131.76,0.00107943
timsort_run128,reverse_sorted,33554432,1572843.60,1.572844,81.38,0.00174760
timsort_run256,reverse_sorted,33554432,2723957.00,2.723957,46.99,0.00302662
timsort_run512,reverse_sorted,33554432,4981779.00,4.981779,25.69,0.00553531
timsort_pf_run64,reverse_sorted,33554432,819939.80,0.819940,156.11,0.00091104
timsort_pf_run128,reverse_sorted,33554432,1243079.40,1.243079,102.97,0.00138120
timsort_pf_run256,reverse_sorted,33554432,2027065.40,2.027065,63.15,0.00225229
radix_lsd,reverse_sorted,33554432,499745.20,0.499745,256.13,0.00055527
radix_hybrid,reverse_sorted,33554432,499733.80,0.499734,256.14,0.00055526
timsort_parallel_t2,reverse_sorted,33554432,504785.60,0.504786,253.57,0.00056087
timsort_parallel_t4,reverse_sorted,33554432,321704.60,0.321705,397.88,0.00035745
timsort_parallel_t8,reverse_sorted,33554432,250784.00,0.250784,510.40,0.00027865
timsort_parallel_t16,reverse_sorted,33554432,253928.60,0.253929,504.08,0.00028214
timsort_run32,few_unique,33554432,1268403.60,1.268404,100.91,0.00140934
timsort_run64,few_unique,33554432,1265680.00,1.265680,101.13,0.00140631
timsort_run128,few_unique,33554432,1429650.20,1.429650,89.53,0.00158850
timsort_run256,few_unique,33554432,1883445.40,1.883445,67.96,0.00209272
timsort_run512,few_unique,33554432,2925147.00,2.925147,43.76,0.00325016
timsort_pf_run64,few_unique,33554432,1398300.80,1.398301,91.54,0.00155367
timsort_pf_run128,few_unique,33554432,1445912.40,1.445912,88.53,0.00160657
timsort_pf_run256,few_unique,33554432,1691779.60,1.691780,75.66,0.00187976
radix_lsd,few_unique,33554432,227827.80,0.227828,561.83,0.00025314
radix_hybrid,few_unique,33554432,227674.80,0.227675,562.21,0.00025297
timsort_parallel_t2,few_unique,33554432,639459.60,0.639460,200.17,0.00071051
timsort_parallel_t4,few_unique,33554432,382793.40,0.382793,334.38,0.00042533
timsort_parallel_t8,few_unique,33554432,288107.60,0.288108,444.28,0.00032012
timsort_parallel_t16,few_unique,33554432,248249.40,0.248249,515.61,0.00027583

=== Benchmark Complete ===
